0HR,15MIN,30MIN,1HR,2HR,4HR,6HR,8HR,12HR,16HR,20HR,24HR,UNSYN
CLDN4,-0.56632,-0.82958,-0.68434,-0.75696,0.07821,2.4657,1.34,1.0768,-0.39384,-0.46647,-0.46647,-0.42108,-0.37569
PMEPA1,-0.67894,-0.807735,-0.67044,-0.565805,0.03658,1.707615,1.64525,1.49213,-0.010195,-0.3841,-0.516145,-0.63401,-0.61421
VEGFA,-0.51269,-0.65858,-0.89661,-0.29001,0.28588,2.1901,1.3148,1.4146,-0.2209,-0.61251,-0.75072,-0.73536,-0.52804
FLT1,-0.6663,-0.55434,-0.78845,0.1378,-0.18791,0.21923,1.3694,2.4178,0.66709,-0.65612,-0.99202,-0.97166,0.0054807
MAT2A,-0.72026,-0.63884,0.039667,-0.65241,0.026096,0.88101,1.7766,1.9666,0.32464,-0.3403,-0.85596,-1.2631,-0.54385
H25689,-0.6703,-0.83504,-0.72232,-0.60961,-0.82637,2.3731,1.584,0.73433,0.17074,-0.59226,-0.072032,-0.080703,-0.45354
FLYWCH1,-0.70473,-0.88548,-0.7951,-0.74992,-0.82899,2.0516,1.8257,0.92197,-0.12861,-0.038234,-0.20768,0.14251,-0.60306
THBD,-0.59319,-0.73636,-0.64256,-0.56357,-0.67218,1.3273,2.1863,1.5642,-0.54876,-0.61787,-0.32166,0.0041774,-0.38584
BMPR2,-0.35674,-0.71347,-0.69796,-0.68245,-0.69796,2.2955,1.2408,1.0702,0.77551,-0.57388,-0.49633,-0.82204,-0.34123
T48818,-0.42569,-0.90379,-0.33007,-0.73646,-0.71255,1.0445,1.7736,2.1082,0.06436,-0.80817,-0.11493,-0.60498,-0.35398
STC1,-0.49797,-0.6872,-0.62559,-0.50677,-0.49797,0.45261,2.0457,2.2217,0.10934,-0.58158,-0.52437,-0.55518,-0.35274
RGS4,-0.64712,-0.602,-0.77837,-0.65942,-0.63891,0.31677,1.9164,2.2979,0.22654,-0.25336,-0.1221,-0.40922,-0.64712
FCGR2B,-0.79839,-0.55372,-0.4507,-0.50221,-0.81127,0.734,0.57948,1.4551,2.2793,-0.064386,-0.20604,-0.42495,-1.2362
ATG4A,-0.86058,-0.69056,-0.2485,0.040544,-1.2516,1.6558,1.3667,1.0437,1.3157,-0.11248,-0.74156,-0.69056,-0.82658
T62684,-0.73761,-1.0765,0.27902,-0.22302,-0.6121,1.7977,1.6094,1.1074,0.7685,-0.6121,-0.6623,-0.80036,-0.83801
YRDC,-0.56157,-1.1587,-0.81198,-0.21485,-1.2165,1.4417,1.2491,1.9233,0.36302,-0.7542,-0.022226,0.093348,-0.33042
DUSP6,-1.079,-0.93234,-0.62688,-0.67576,-1.1645,2.0367,1.5235,0.47275,0.48496,-0.39474,0.55827,0.31391,-0.51692
GRPEL1,-1.0964,-1.0125,-0.72706,-0.76063,-1.4154,1.0861,1.5729,1.6065,0.44812,0.26345,-0.2402,0.31381,-0.038742
TMEM2,-0.87681,-0.8977,-0.61561,-0.66785,-1.1067,0.75304,1.0351,1.8083,1.7038,0.042595,-0.13502,-0.53203,-0.51114
FGF7,-1.0545,-0.97211,-0.9355,-0.60607,-0.50541,1.0319,1.9653,1.7,0.29072,0.19006,-0.14853,-0.359,-0.59692
W52295,-0.79508,-0.56598,-0.53073,-0.36331,-0.68053,2.2802,1.7955,0.80864,-0.31044,-0.081338,-0.31044,-0.38093,-0.86557
W44677,-0.85801,-0.69078,-0.64897,-0.76603,-0.32288,1.9263,2.0936,0.73066,0.08683,-0.021868,-0.28107,-0.32288,-0.9249
H02190,-0.54738,-1.2267,1.6604,1.4566,-1.0399,0.013064,-0.59833,0.26781,1.2019,-0.47945,0.36971,0.30178,-1.3796
ADRA2C,-0.57511,-0.99435,-0.45866,1.195,-0.99435,0.91552,-0.10929,-1.1574,-0.20245,-0.016125,1.4745,1.7307,-0.80802
T82817,-1.3481,-1.7,-0.21024,1.432,0.083015,0.88068,-0.010828,-0.45658,-0.010828,-0.66773,0.75164,1.7253,-0.46831
FURIN,-1.153,-1.46,0.26662,0.13872,-0.76935,0.023612,-0.19381,0.074771,1.0596,0.75263,1.1875,1.5712,-1.4984
MKI67,-0.68045,-0.54337,-0.50305,-0.89817,-0.80141,-0.59175,-0.34178,0.045281,-0.14825,-0.17244,0.48878,1.7709,2.3757
RPS2,-0.52372,-0.71785,-0.95358,-1.0506,-0.49599,-0.56532,-0.37119,-0.34346,-0.19093,0.58559,0.79358,1.8197,2.0138
SDF1,-0.76746,-0.72488,-0.98039,-0.78571,-0.65796,-0.54237,-0.53021,-0.20778,0.47358,0.71692,1.38,2.3534,0.27282
RAN,-0.74753,-0.66207,-0.74753,-0.61324,-0.83299,-0.4057,-0.11269,-0.19815,-0.13711,0.25356,1.2791,2.7197,0.20473
ITGA6,-0.62233,-0.81448,-0.72172,-0.69521,-0.52294,-0.6422,-0.57595,-0.12538,-0.16514,0.39144,1.2926,2.5846,0.61672
ACP1,-1.0634,-0.94129,-0.68954,-0.7582,-0.75057,-0.7582,-0.40727,-0.10211,0.66841,1.2711,1.5534,1.7594,0.21831
CDK7,-0.87608,-0.58154,-0.97426,-0.87608,-0.39745,-0.27472,-0.72881,-0.18881,0.31437,1.873,1.1857,1.8116,-0.28699
CNDP2,-0.68876,-0.69928,-0.99389,-0.93076,-0.7098,-0.4152,-0.66772,-0.35207,0.31079,1.7312,1.363,1.6891,0.3634
AA028949,-0.71455,-0.57164,-1.0783,-0.89643,-0.61061,-0.58463,-0.55865,2.88E-16,-0.20787,0.67557,0.89643,1.507,2.1436
RANBP1,-0.77463,-0.8402,-1.0369,-0.8402,-0.93198,-0.64351,-0.45994,0.117,0.14323,1.0086,1.2709,1.1135,1.874
SDCBP2,-0.72194,-0.77351,-1.3064,-1.2204,-0.58443,-0.60162,-0.29221,0.48129,0.48129,1.0657,1.1517,1.9596,0.36097
NOP56,-0.92453,-1.0704,-1.4183,-1.2612,-0.49809,-0.30731,-0.049205,0.13035,1.2638,0.96078,0.84856,0.94956,1.376
TRIM3,-0.90136,-0.98984,-1.2932,-0.77496,-0.49687,-0.80024,-0.52215,0.31212,0.81774,0.50173,1.2602,1.475,1.4118
HSPA8,-0.73765,-0.87552,-1.2585,-1.0747,-0.99807,-0.37,0.51848,-0.26277,0.10487,1.5908,0.99335,0.91676,1.4529
TBCB,-0.91675,-0.84514,0.065313,-0.02164,-0.86048,-0.75819,-0.31319,-0.052329,0.29548,-0.47175,0.39778,0.62284,2.8581
CENPN,-0.59174,-1.6194,-1.0754,-0.93934,-0.017438,1.0556,0.6022,1.509,1.3579,0.14881,0.46618,0.16392,-1.0602
T54874,-0.60025,-0.91437,-1.3442,-1.0466,-0.3192,0.55701,0.59008,1.8796,1.7143,-0.45146,0.094107,-0.55065,0.39169
R16047,-0.83086,-0.91875,-1.1824,-1.0164,-0.99688,-0.65507,0.25316,1.4446,1.7864,0.83912,0.53638,0.40942,0.33129
ESM1,-0.81652,-1.1576,-0.96877,-0.93832,-0.98704,-0.50594,0.5659,1.9483,1.2358,0.048251,0.9922,0.55981,0.023891
DSP,-0.50126,-1.3104,-1.2381,-1.0648,-0.53016,-0.42902,0.062241,1.2037,1.5505,0.81357,1.4204,0.43791,-0.41457
HNT,-0.85857,-0.61312,-0.96191,-1.272,-0.66479,-0.89732,0.36867,1.4796,1.7122,0.8854,0.75622,0.52369,-0.4581
OPCML,-0.75402,-1.0766,-1.2255,-0.92773,-0.60512,-0.65476,0.052495,1.7027,1.7152,0.80938,0.74734,0.23861,-0.021952
DNAJB9,-0.51237,-0.72114,-0.49249,-0.4229,-0.85038,-0.63167,-0.20418,1.0882,2.6689,0.77009,0.24319,-0.12465,-0.81062
ZDHHC18,1.4552,-1.0258,-0.67137,-0.62707,-1.4688,-0.22833,-0.40555,0.12609,1.8096,0.96786,0.52483,0.48052,-0.93719
NEK7,-0.58076,-0.88788,-0.4528,-0.35043,-1.2974,-0.40161,-0.88788,-0.60635,0.80125,1.7226,1.5434,1.2363,0.16143
R99596,-0.79333,-1.2997,-0.45574,-0.54014,-1.3335,-0.74269,-0.42198,0.86085,1.1647,1.1309,0.91149,1.5698,-0.050638
R39465,-1.4727,-1.4727,0.57701,-0.12077,-1.2983,-0.14258,0.097287,-0.2516,-0.12077,0.46798,0.59882,1.471,1.6673
OXTR,-0.27326,-0.87693,-0.041078,-1.5967,-0.80727,-0.62153,-0.85371,-0.13395,1.9557,1.2127,0.98051,0.58581,0.46972
MPC1,-0.94633,-0.54948,-0.91182,-0.41145,-0.39419,0.10618,0.054417,-0.32518,-0.11813,0.1752,1.3485,2.6771,-0.70477
EBNA1BP2,-0.64033,-0.6699,-1.3353,-0.99519,-0.6699,0.66081,-0.093263,-0.30026,-0.24112,1.0896,2.1985,1.1339,-0.13762
R78225,-0.57376,-0.72599,-1.2283,-1.0609,-0.81732,0.15691,0.41569,0.85713,1.8314,1.2986,0.75058,0.2178,-1.1218
H01821,-0.82424,-0.7998,-0.89268,-0.99533,-0.82913,0.19252,0.77423,2.3678,1.0969,0.52004,0.16319,-0.10077,-0.67271
HSPB7,-0.32524,-0.97699,-1.1942,-0.91015,-0.87672,0.1594,0.17612,1.9476,1.4963,-0.091272,0.52706,0.91143,-0.8433
GCH1,-0.8961,-0.79639,-0.63021,-0.8047,-1.1038,-0.056885,0.99005,1.5551,1.4803,0.76571,0.55798,0.25886,-1.3199
TIMP3,-0.96408,-0.94777,-0.9233,-0.94777,-0.86623,0.014427,1.0092,1.3273,1.0989,0.57707,0.91139,0.96847,-1.2576
DDX21,-0.94605,-1.3533,-0.93248,-0.75601,-0.59311,0.69649,1.5924,1.7417,0.84581,0.017752,-0.24017,-0.60669,0.53359
ANPEP,-1.1622,-1.5043,-0.92809,-0.83805,-0.96411,1.0528,1.0708,1.3049,1.2689,0.54854,-0.027704,0.026319,0.15237
W74639,-0.96447,-1.4058,-0.83468,-0.99043,-0.86064,0.6969,1.4237,0.98245,1.5795,0.80073,-0.15975,-0.13379,-0.13379
PPIF,-1.0241,-1.2175,-1.3582,-1.2527,-0.19751,0.66424,0.87528,1.526,1.526,0.34768,0.031115,-0.074405,0.15422
CTPS,-1.0855,-1.2186,-1.2452,-1.1653,-0.30003,0.80487,1.3107,1.5903,0.87143,0.512,0.49869,-0.35328,-0.22016
MICAL2,-0.782795,-1.0535,-1.017495,-0.95371,-0.94761,0.70278,1.03602,1.779,1.442,0.2055175,-0.16608,-0.41612,0.1719755
TM4SF1,-0.9416,-0.97724,-0.91309,-0.84182,-0.37856,0.49451,0.93283,1.9876,1.7453,-0.32154,-0.41776,-0.27165,-0.097038
NEU1,-1.2676,-1.1448,-1.2581,-1.277,-0.34161,0.56548,1.1041,1.5387,1.1324,0.55603,0.055239,-0.14319,0.48044
OGFRL1,-0.95244,-0.76986,-1.2026,-1.0336,-1.0606,0.20391,0.90718,1.7322,1.6916,0.24448,0.068663,-0.080107,0.25124
RCAN1,-0.76676,-0.91113,-0.98987,-0.91769,-0.72739,-0.28116,1.0378,2.0943,1.6153,-0.025239,0.17819,-0.15648,-0.14992
AA057801,-0.84678,-0.90461,-0.86847,-0.91906,-0.96966,-0.19627,1.1409,2.0227,1.5601,0.10731,0.0278,-0.21072,0.056712
MYO10,-0.88535,-0.83503,-0.89973,-0.89254,-0.70922,-0.10175,0.69982,2.1879,1.6488,0.36553,-0.15926,-0.48996,0.070784
SERPINB2,-0.80094,-0.82204,-0.81676,-0.75346,-0.73061,-0.18908,2.0878,1.9085,0.69355,0.31905,-0.19435,-0.27875,-0.42292
TGM2,-0.15546,-0.60458,-1.0986,-1.413,-1.1211,-0.38002,-0.2902,0.96733,0.72032,0.45085,1.6859,1.5287,-0.2902
SSR3,-1.0034,-0.47916,-1.0188,-1.3118,-0.60251,-0.81837,-0.13995,0.63098,1.2169,1.294,1.5098,1.0164,-0.29414
S1PR1,-0.80152,-0.86439,-0.85653,-1.0058,-1.0058,-0.66794,-0.30646,0.42434,0.92725,1.218,1.3752,1.6973,-0.13359
CXCL12,-1.1903,-1.042,-1.1625,-1.2784,-0.85655,0.024249,0.26067,0.64545,0.92359,1.517,1.211,0.8077,0.14014
MT1M,-0.88322,-1.1461,-1.0266,-1.1102,-0.93698,-0.33959,-0.19025,0.75363,0.072606,1.4108,1.3809,1.2196,0.79545
WDR1,-1.0093,-1.4223,-1.2708,-1.1607,-0.22451,0.28488,0.11967,1.0008,0.86311,1.3863,1.2211,0.68413,-0.47233
PLOD2,-0.98238,-1.0696,-1.0042,-0.94966,-0.56795,-0.088087,0.064597,0.17366,0.29362,1.406,1.5914,1.6569,-0.52433
ATP5G1,-1.1351,-0.94833,-1.2223,-0.92342,-0.1638,0.33431,0.060348,0.12261,1.3928,1.7913,0.77016,0.84487,-0.92342
S100A16,-0.67984,-0.84011,-1.5728,-1.1607,-0.8859,-0.54246,0.19021,1.1061,1.3579,1.0374,0.44207,0.35049,1.1976
PFKP,-0.72902,-1.247,-1.3046,-1.247,-0.65228,-0.13429,-0.26859,0.44125,0.94005,0.59473,0.76739,1.2086,1.6307
SLC20A1,-1.1045,-1.1886,-1.5926,-1.155,-0.75099,0.73027,0.54511,1.1343,0.71344,0.20846,0.7471,1.2016,0.51145
CYCS,-1.0464,-1.1446,-1.4194,-1.1053,-0.26123,-0.43791,-0.33975,0.91658,0.85769,1.0933,1.0933,1.3484,0.44546
PSMD2,-1.0101,-1.1769,-1.3437,-0.97976,-1.0101,-0.11547,0.12714,1.0066,1.1582,0.90045,1.0824,1.1885,0.17262
MT1L,-0.97926,-1.1661,-1.1661,-1.0649,-0.9014,-0.37973,0.079659,0.91278,0.57798,1.7381,1.1152,0.74149,0.49233
MT2A,-1.2273,-1.0701,-1.1075,-0.98771,-0.88289,-0.17911,0.59205,1.2359,0.99635,1.7151,0.68189,0.24016,-0.0069111
PTMA,-1.4214,-1.080015,-0.337115,-0.074132,0.04845,-0.242115,-0.0933,0.3266,0.741865,0.347675,0.416135,0.439936,0.927445
T85217,-1.1036,-1.1863,-0.54542,-1.1656,-0.7108,-0.15266,0.46751,0.8396,1.7905,1.6045,0.57087,-0.0079508,-0.40072
GPM6B,-0.75926,-1.1204,-0.47037,-0.51852,-1.3611,-0.47037,0.56482,0.80556,2.3463,0.70926,0.3963,0.42037,-0.54259
H85111,-0.91717,-1.5054,-0.37418,-0.5778,-1.5507,0.21406,0.55343,0.50818,1.8657,1.0738,0.55343,0.55343,-0.3968
FAM101B,-0.84878,-1.3974,-0.95039,-0.99103,-1.0723,-0.056273,0.55335,0.91912,0.95977,1.2239,1.2646,0.91912,-0.52365
MT1G,-0.68108,-1.1294,-0.63305,-1.2415,-1.2735,-0.4249,0.50373,0.72788,0.904,0.96804,1.2562,1.4804,-0.45693
N55459,-0.88512,-1.3197,-0.81598,-1.3098,-1.0827,-0.44066,0.77419,0.79395,0.95198,1.4063,1.0409,0.70506,0.18158
ESPL1,-0.98875,-1.1493,-0.83485,-0.94191,-1.3501,-0.29287,0.5636,0.83794,0.88478,0.71081,1.6275,1.1056,-0.17243
KIAA0368,-0.85743,-0.70154,-0.74051,-0.97435,-0.83795,-0.23385,-0.097435,1.8123,1.9487,0.89641,0.42872,0.019487,-0.66256
CDH2,-0.72295,-0.98335,-0.86499,-1.0189,-1.1017,0.07011,0.43705,1.2893,2.106,0.43705,0.7448,0.24766,-0.64009
SERPIND1,-1.2705,-1.3387,-0.99772,-0.83406,-1.0796,0.48889,0.37978,1.1845,0.43434,1.6073,0.69347,0.82986,-0.097569
H48459,-1.0032,-0.97768,-0.90106,-1.0032,-0.96065,-0.058281,0.87814,1.1931,1.2953,0.86112,1.0058,0.73342,-1.0628
MRPL35,-0.98904,-0.96238,-1.0804,-0.98142,-1.0271,-0.010254,0.32109,1.2199,1.2961,1.4217,0.89617,0.58387,-0.68817
TMEM106A,-1.043,-1.0639,-1.0115,-0.93182,-0.99683,-0.13487,0.37266,1.2053,1.0249,1.0668,1.1948,1.0585,-0.74097
R21876,-1.0368,-1.0391,-0.96281,-0.88649,-1.0946,0.064045,0.70005,1.0493,0.87813,1.5858,0.84113,0.76943,-0.86799
TFPI2,-0.93749,-0.91819,-0.90302,-0.9044,-0.84788,-0.080059,1.4018,1.8416,0.46858,1.0214,0.8201,-0.19447,-0.76793
PKM2,-0.4857,-1.1274,0.0019744,0.10464,-1.076,-0.89637,-0.3317,0.66932,1.5677,-0.4087,0.027642,-0.3317,2.2863
CCT5,-1.2836,-0.99183,-0.66356,-0.28058,-1.1377,0.37597,0.50363,1.2149,1.9261,0.54011,-0.0070144,-1.0101,0.81367
CLTC,-0.91943,-0.54991,1.3119,-0.18039,-0.94785,-0.66361,0.075435,1.2977,2.2641,-0.37936,-0.3083,-0.81994,-0.18039
RGS12,-0.84434,-0.70859,0.80407,0.22227,-0.70859,-0.029835,0.31924,1.6574,2.1422,-0.57284,-0.53405,-0.94131,-0.80556
ACLY,-0.38227,-0.79411,0.22176,0.057024,-0.49209,0.057024,0.66105,2.1437,1.7593,-0.65683,-0.65683,-1.1785,-0.73919
FLNB,-0.74364,-0.67588,-0.24672,-0.2919,-0.74364,0.79229,0.74712,1.2214,2.3734,-0.38225,-1.1728,-0.63071,-0.24672
TPM1,-0.71159,-0.75298,0.012735,0.90262,-0.31838,0.012735,0.03343,0.77845,2.5375,-0.0079596,-0.38047,-0.50464,-1.6015
AA046572,-1.15335,-0.96452,-0.07846,-0.351955,-0.163476,0.199264,0.2800425,1.582,2.1533,0.20918,-0.036735,-0.561765,-1.11355
MAP2K3,-0.72891,-0.79461,-0.44973,-0.94241,1.9316,1.3732,1.2418,-0.33477,0.96262,-0.36762,-0.69607,-0.92599,-0.26908
NET1,-1.3051,-1.3446,-0.82151,-0.83138,1.2512,1.7941,0.69851,1.2315,-0.2589,-0.12072,-0.041759,-0.45631,0.205
UAP1,-1.24,-1.1105,-1.3695,-0.38222,0.23282,2.4016,0.96114,0.006225,-0.0747,0.63744,0.006225,0.11952,-0.188
PLAUR,-1.0019,-1.5417,-0.64799,-0.34714,-0.055133,0.90051,1.4757,1.9535,0.74124,-0.037436,-0.37368,-0.61259,-0.45332
NDRG2,-1.1122,-1.2247,-1.0841,-0.21294,0.79878,1.7262,0.81283,1.7683,-0.058368,-0.14268,-0.38155,-0.25509,-0.63448
R36703,-0.89355,-0.9512,-0.9512,-0.25942,0.73982,2.354,1.0857,0.78786,0.20177,-0.43236,-0.19216,-0.56688,-0.92237
F3,-1.01026,-0.95378,-0.98539,0.001585,0.77991,1.8079,1.7138,0.51246,-0.09777,-0.30695,-0.21473,-0.44052,-0.806265
PTGS2,-0.98604,-0.96406,-0.43291,0.3449,-0.63682,2.3376,1.3425,0.91147,0.061616,-0.7052,-0.39017,-0.091015,-0.7919
ID3,-1.3516,-1.4613,-1.1596,-0.15858,0.81962,-0.33228,-0.61568,1.7064,1.4504,0.5225,0.074543,0.45851,0.047117
KLF10,-0.72325,-0.813695,-0.59004,1.6603,2.449,-0.698565,-0.1064625,0.409665,-0.031665,-0.348635,-0.47018,-0.49298,-0.243455
ACKR3,-0.49936,-0.42755,-0.71479,-0.21212,1.0087,1.4108,0.85068,1.8847,0.44854,-0.91586,-1.002,-0.97331,-0.85841
CTGF,-0.27771,-0.25696,-0.73417,0.075013,1.5274,0.96719,0.38624,1.4859,0.8427,-0.3607,-0.98315,-0.94165,-1.7301
ARV1,-0.32039,-0.25696,1.5613,0.65216,-0.15125,-0.25696,-0.2781,1.6881,1.371,-1.0604,-0.8278,-1.1449,-0.9758
N58770,-0.81983,-0.27384,0.66527,2.0521,1.6917,-0.44855,0.57791,0.075599,0.01008,-0.79799,-0.83075,-0.77615,-1.1256
CDKN1A,0.80836,-0.58699,0.98278,1.5496,0.11069,1.4624,0.2415,-0.23815,-0.97943,-0.89222,-0.80501,0.067084,-1.7207
ZNF584,-0.43448,-0.63266,-0.05793,2.7166,-0.31557,0.041161,1.0717,0.57625,-0.7912,-0.69211,-0.59302,-0.98939,0.10062
NR4A3,-0.57664,-0.61382,-0.54875,2.0259,1.6727,1.4636,-0.070069,-0.35821,-0.50228,-0.61846,-0.65564,-0.66029,-0.55805
BHLHE40,-0.27412,-0.62921,-0.73066,2.8456,0.82919,0.39801,0.44874,0.10633,-0.51507,-0.76871,-0.62921,-0.57848,-0.50239
MPC2,-0.71556,-0.833,-0.62903,1.4292,2.1586,1.3118,0.26721,0.063235,-0.7032,-0.64757,-0.61048,-0.64139,-0.44978
JUNB,-0.69794,-0.12437,0.042731,1.7363,2.468,0.35887,-0.3005,-0.31405,-0.62568,-0.65277,-0.70697,-0.75665,-0.42696
AA044235,-0.9186,-0.70119,0.85171,1.5816,1.4729,0.21502,0.94488,0.743,-0.63908,-1.0118,-1.0118,-1.0428,-0.48379
MCL1,-0.94937,-0.84092,0.75693,1.451,0.64848,1.6679,1.1401,0.077306,-0.66016,-0.89876,-0.9566,-0.80476,-0.63124
NAMPT,-0.97197,-0.90542,-0.23038,0.68236,0.72039,1.0151,1.7282,1.443,-0.21136,-0.89591,-0.93394,-1.1336,-0.30644
EDN1,-0.97173,-0.68914,-0.16979,1.2279,0.88419,0.89947,1.3501,1.3501,-0.055225,-0.62804,-1.0939,-1.0328,-1.071
IL6,-0.83398,-0.69357,-0.39763,0.047357,1.4298,1.6675,1.2052,1.2246,-0.31122,-0.80157,-0.86422,-0.86422,-0.80805
SGK1,-0.9011,-0.051513,0.17837,2.0774,1.4877,-0.61124,0.36828,0.82806,0.25833,-0.70119,-0.93108,-1.001,-1.001
KLF6,-1.2286,-0.68802,1.8183,2.1623,0.16381,0.32763,0.21296,-0.3764719,-0.50782,-0.9665,-0.65525,-0.4423,-0.19658
DUSP1,-1.198,-0.64129,0.491856,2.27036,1.134806,0.0595216,0.46055,0.667484,-0.348498,-0.561244,-0.60026,-0.62633,-1.108962
